"Path","File","mfst","bld","inst","s10"
"ext/ODBM_File/hints","svr4.pl","X",,,"skip"
"ext/ODBM_File/hints","ultrix.pl","X",,,"skip"
"ext/ODBM_File/t","odbm.t","X","X",,"distrib"
"ext/Opcode","Makefile",,"X",,"skip"
"ext/Opcode","Makefile.PL","X","X",,"distrib"
"ext/Opcode","Opcode.bs",,"X",,"skip"
"ext/Opcode","Opcode.c",,"X",,"skip"
"ext/Opcode","Opcode.pm","X","X","X","distrib"
"ext/Opcode","Opcode.xs","X","X",,"distrib"
"ext/Opcode","Safe.pm","X","X","X","distrib"
"ext/Opcode","ops.pm","X","X","X","distrib"
"ext/Opcode","pm_to_blib",,"X",,"skip"
"ext/Opcode/t","Opcode.t","X","X",,"distrib"
"ext/Opcode/t","ops.t","X","X",,"distrib"
"ext/POSIX","Makefile",,"X",,"skip"
"ext/POSIX","Makefile.PL","X","X",,"distrib"
"ext/POSIX","POSIX.bs",,"X",,"skip"
"ext/POSIX","POSIX.c",,"X",,"skip"
"ext/POSIX","POSIX.pm","X","X","X","distrib"
"ext/POSIX","POSIX.pod","X","X","X","distrib"
"ext/POSIX","POSIX.xs","X","X",,"distrib"
"ext/POSIX","const-c.inc",,"X",,"skip"
"ext/POSIX","const-xs.inc",,"X",,"skip"
"ext/POSIX","pm_to_blib",,"X",,"skip"
"ext/POSIX","typemap","X","X",,"distrib"
"ext/POSIX/hints","bsdos.pl","X",,,"skip"
"ext/POSIX/hints","dynixptx.pl","X",,,"skip"
"ext/POSIX/hints","freebsd.pl","X",,,"skip"
"ext/POSIX/hints","linux.pl","X",,,"skip"
"ext/POSIX/hints","mint.pl","X",,,"skip"
"ext/POSIX/hints","netbsd.pl","X",,,"skip"
"ext/POSIX/hints","next_3.pl","X",,,"skip"
"ext/POSIX/hints","openbsd.pl","X",,,"skip"
"ext/POSIX/hints","sunos_4.pl","X",,,"skip"
"ext/POSIX/hints","svr4.pl","X",,,"skip"
"ext/POSIX/hints","uts.pl","X",,,"skip"
"ext/POSIX/t","is.t","X","X",,"distrib"
"ext/POSIX/t","posix.t","X","X",,"distrib"
"ext/POSIX/t","sigaction.t","X","X",,"distrib"
"ext/POSIX/t","taint.t","X","X",,"distrib"
"ext/POSIX/t","waitpid.t","X","X",,"distrib"
"ext/PerlIO/encoding","MANIFEST","X","X",,"skip"
"ext/PerlIO/encoding","Makefile",,"X",,"skip"
"ext/PerlIO/encoding","Makefile.PL","X","X",,"distrib"
"ext/PerlIO/encoding","encoding.bs",,"X",,"skip"
"ext/PerlIO/encoding","encoding.c",,"X",,"skip"
"ext/PerlIO/encoding","encoding.pm","X","X","X","distrib"
"ext/PerlIO/encoding","encoding.xs","X","X",,"distrib"
"ext/PerlIO/encoding","pm_to_blib",,"X",,"skip"
"ext/PerlIO/scalar","Makefile",,"X",,"skip"
"ext/PerlIO/scalar","Makefile.PL","X","X",,"distrib"
"ext/PerlIO/scalar","pm_to_blib",,"X",,"skip"
"ext/PerlIO/scalar","scalar.bs",,"X",,"skip"
"ext/PerlIO/scalar","scalar.c",,"X",,"skip"
"ext/PerlIO/scalar","scalar.pm","X","X","X","distrib"
"ext/PerlIO/scalar","scalar.xs","X","X",,"distrib"
"ext/PerlIO/t","PerlIO.t","X","X",,"distrib"
"ext/PerlIO/t","encoding.t","X","X",,"distrib"
"ext/PerlIO/t","fail.t","X","X",,"distrib"
"ext/PerlIO/t","fallback.t","X","X",,"distrib"
"ext/PerlIO/t","open.t","X","X",,"distrib"
"ext/PerlIO/t","scalar.t","X","X",,"distrib"
"ext/PerlIO/t","via.t","X","X",,"distrib"
"ext/PerlIO/via","Makefile",,"X",,"skip"
"ext/PerlIO/via","Makefile.PL","X","X",,"distrib"
"ext/PerlIO/via","pm_to_blib",,"X",,"skip"
"ext/PerlIO/via","via.bs",,"X",,"skip"
"ext/PerlIO/via","via.c",,"X",,"skip"
"ext/PerlIO/via","via.pm","X","X","X","distrib"
"ext/PerlIO/via","via.xs","X","X",,"distrib"
"ext/PerlIO/via/hints","aix.pl","X",,,"skip"
"ext/SDBM_File","Makefile",,"X",,"skip"
"ext/SDBM_File","Makefile.PL","X","X",,"distrib"
"ext/SDBM_File","SDBM_File.bs",,"X",,"skip"
"ext/SDBM_File","SDBM_File.c",,"X",,"skip"
"ext/SDBM_File","SDBM_File.pm","X","X","X","distrib"
"ext/SDBM_File","SDBM_File.xs","X","X",,"distrib"
"ext/SDBM_File","pm_to_blib",,"X",,"skip"
"ext/SDBM_File","typemap","X","X",,"distrib"
"ext/SDBM_File/sdbm","CHANGES","X",,,"skip"
"ext/SDBM_File/sdbm","COMPARE","X",,,"skip"
"ext/SDBM_File/sdbm","Makefile",,"X",,"skip"
"ext/SDBM_File/sdbm","Makefile.PL","X","X",,"distrib"
"ext/SDBM_File/sdbm","README","X",,,"skip"
"ext/SDBM_File/sdbm","README.too","X",,,"skip"
"ext/SDBM_File/sdbm","biblio","X",,,"skip"
"ext/SDBM_File/sdbm","dba.c","X",,,"skip"
"ext/SDBM_File/sdbm","dbd.c","X",,,"skip"
"ext/SDBM_File/sdbm","dbe.1","X",,,"skip"
"ext/SDBM_File/sdbm","dbe.c","X",,,"skip"
"ext/SDBM_File/sdbm","dbu.c","X",,,"skip"
"ext/SDBM_File/sdbm","grind","X",,,"skip"
"ext/SDBM_File/sdbm","hash.c","X","X",,"distrib"
"ext/SDBM_File/sdbm","linux.patches","X",,,"skip"
"ext/SDBM_File/sdbm","makefile.sdbm","X",,,"skip"
"ext/SDBM_File/sdbm","pair.c","X","X",,"distrib"
"ext/SDBM_File/sdbm","pair.h","X","X",,"distrib"
"ext/SDBM_File/sdbm","readme.ms","X",,,"skip"
"ext/SDBM_File/sdbm","sdbm.3","X",,,"skip"
"ext/SDBM_File/sdbm","sdbm.c","X","X",,"distrib"
"ext/SDBM_File/sdbm","sdbm.h","X","X",,"distrib"
"ext/SDBM_File/sdbm","tune.h","X","X",,"distrib"
"ext/SDBM_File/sdbm","util.c","X",,,"skip"
"ext/SDBM_File/t","sdbm.t","X","X",,"distrib"
"ext/Safe/t","safe1.t","X","X",,"distrib"
"ext/Safe/t","safe2.t","X","X",,"distrib"
"ext/Safe/t","safe3.t","X","X",,"distrib"
"ext/Socket","Makefile",,"X",,"skip"
"ext/Socket","Makefile.PL","X","X",,"distrib"
"ext/Socket","Socket.bs",,"X",,"skip"
"ext/Socket","Socket.c",,"X",,"skip"
"ext/Socket","Socket.pm","X","X","X","distrib"
"ext/Socket","Socket.xs","X","X",,"distrib"
"ext/Socket","const-c.inc",,"X",,"skip"
"ext/Socket","const-xs.inc",,"X",,"skip"
"ext/Socket","pm_to_blib",,"X",,"skip"
"ext/Socket/t","Socket.t","X","X",,"distrib"
"ext/Socket/t","socketpair.t","X","X",,"distrib"
"ext/Storable","ChangeLog","X",,,"skip"
"ext/Storable","MANIFEST","X","X",,"skip"
"ext/Storable","Makefile",,"X",,"skip"
"ext/Storable","Makefile.PL","X","X",,"distrib"
"ext/Storable","README","X",,,"skip"
"ext/Storable","Storable.bs",,"X",,"skip"
"ext/Storable","Storable.c",,"X",,"skip"
"ext/Storable","Storable.pm","X","X","X","distrib"
"ext/Storable","Storable.xs","X","X",,"distrib"
"ext/Storable","pm_to_blib",,"X",,"skip"
"ext/Storable/hints","linux.pl","X",,,"skip"
"ext/Storable/t","HAS_HOOK.pm","X","X",,"distrib"
"ext/Storable/t","HAS_OVERLOAD.pm","X","X",,"distrib"
"ext/Storable/t","blessed.t","X","X",,"distrib"
"ext/Storable/t","canonical.t","X","X",,"distrib"
"ext/Storable/t","code.t","X","X",,"distrib"
"ext/Storable/t","compat06.t","X","X",,"distrib"
"ext/Storable/t","croak.t","X","X",,"distrib"
"ext/Storable/t","dclone.t","X","X",,"distrib"
"ext/Storable/t","downgrade.t","X","X",,"distrib"
"ext/Storable/t","forgive.t","X","X",,"distrib"
"ext/Storable/t","freeze.t","X","X",,"distrib"
"ext/Storable/t","integer.t","X","X",,"distrib"
"ext/Storable/t","interwork56.t","X","X",,"distrib"
"ext/Storable/t","just_plain_nasty.t","X","X",,"distrib"
"ext/Storable/t","lock.t","X","X",,"distrib"
"ext/Storable/t","make_56_interwork.pl","X",,,"skip"
"ext/Storable/t","make_downgrade.pl","X",,,"skip"
"ext/Storable/t","malice.t","X","X",,"distrib"
"ext/Storable/t","overload.t","X","X",,"distrib"
"ext/Storable/t","recurse.t","X","X",,"distrib"
"ext/Storable/t","restrict.t","X","X",,"distrib"
"ext/Storable/t","retrieve.t","X","X",,"distrib"
"ext/Storable/t","st-dump.pl","X","X",,"distrib"
"ext/Storable/t","store.t","X","X",,"distrib"
"ext/Storable/t","threads.t","X","X",,"skip"
"ext/Storable/t","tied.t","X","X",,"distrib"
"ext/Storable/t","tied_hook.t","X","X",,"distrib"
"ext/Storable/t","tied_items.t","X","X",,"distrib"
"ext/Storable/t","utf8.t","X","X",,"distrib"
"ext/Storable/t","utf8hash.t","X","X",,"distrib"
"ext/Sys/Hostname","Hostname.bs",,"X",,"skip"
"ext/Sys/Hostname","Hostname.c",,"X",,"skip"
"ext/Sys/Hostname","Hostname.pm","X","X","X","distrib"
"ext/Sys/Hostname","Hostname.xs","X","X",,"distrib"
"ext/Sys/Hostname","Makefile",,"X",,"skip"
"ext/Sys/Hostname","Makefile.PL","X","X",,"distrib"
"ext/Sys/Hostname","pm_to_blib",,"X",,"skip"
"ext/Sys/Hostname/t","Hostname.t","X","X",,"distrib"
"ext/Sys/Syslog","Makefile",,"X",,"skip"
"ext/Sys/Syslog","Makefile.PL","X","X",,"distrib"
"ext/Sys/Syslog","Syslog.bs",,"X",,"skip"
"ext/Sys/Syslog","Syslog.c",,"X",,"skip"
"ext/Sys/Syslog","Syslog.pm","X","X","X","distrib"
"ext/Sys/Syslog","Syslog.xs","X","X",,"distrib"
"ext/Sys/Syslog","const-c.inc",,"X",,"skip"
"ext/Sys/Syslog","const-xs.inc",,"X",,"skip"
"ext/Sys/Syslog","pm_to_blib",,"X",,"skip"
"ext/Sys/Syslog/t","syslog.t","X","X",,"distrib"
"ext/Thread","Makefile.PL","X",,,"skip"
"ext/Thread","Notes","X",,,"skip"
"ext/Thread","Queue.pmx","X",,,"skip"
"ext/Thread","README","X",,,"skip"
"ext/Thread","README.threads","X",,,"skip"
"ext/Thread","Semaphore.pmx","X",,,"skip"
"ext/Thread","Thread.xs","X",,,"skip"
"ext/Thread","create.tx","X",,,"skip"
"ext/Thread","die.tx","X",,,"skip"
"ext/Thread","die2.tx","X",,,"skip"
"ext/Thread","io.tx","X",,,"skip"
"ext/Thread","join.tx","X",,,"skip"
"ext/Thread","join2.tx","X",,,"skip"
"ext/Thread","list.tx","X",,,"skip"
"ext/Thread","lock.tx","X",,,"skip"
"ext/Thread","queue.tx","X",,,"skip"
"ext/Thread","specific.tx","X",,,"skip"
"ext/Thread","sync.tx","X",,,"skip"
"ext/Thread","sync2.tx","X",,,"skip"
"ext/Thread","thr5005.t","X","X",,"skip"
"ext/Thread","typemap","X",,,"skip"
"ext/Thread","unsync.tx","X",,,"skip"
"ext/Thread","unsync2.tx","X",,,"skip"
"ext/Thread","unsync3.tx","X",,,"skip"
"ext/Thread","unsync4.tx","X",,,"skip"
"ext/Thread/Thread","Signal.pm","X",,,"skip"
"ext/Thread/Thread","Specific.pm","X",,,"skip"
"ext/Time/HiRes","Changes","X",,,"skip"
"ext/Time/HiRes","HiRes.bs",,"X",,"skip"
"ext/Time/HiRes","HiRes.c",,"X",,"skip"
"ext/Time/HiRes","HiRes.pm","X","X","X","distrib"
"ext/Time/HiRes","HiRes.xs","X","X",,"distrib"
"ext/Time/HiRes","Makefile",,"X",,"skip"
"ext/Time/HiRes","Makefile.PL","X","X",,"distrib"
"ext/Time/HiRes","const-c.inc",,"X",,"skip"
"ext/Time/HiRes","const-xs.inc",,"X",,"skip"
"ext/Time/HiRes","pm_to_blib",,"X",,"skip"
"ext/Time/HiRes","typemap","X","X",,"distrib"
"ext/Time/HiRes","xdefine",,"X",,"skip"
"ext/Time/HiRes/fallback","const-c.inc","X",,,"skip"
"ext/Time/HiRes/fallback","const-xs.inc","X",,,"skip"
"ext/Time/HiRes/hints","dec_osf.pl","X",,,"skip"
"ext/Time/HiRes/hints","dynixptx.pl","X",,,"skip"
"ext/Time/HiRes/hints","irix.pl","X",,,"skip"
"ext/Time/HiRes/hints","sco.pl","X",,,"skip"
"ext/Time/HiRes/hints","solaris.pl","X","X",,"distrib"
"ext/Time/HiRes/hints","svr4.pl","X",,,"skip"
"ext/Time/HiRes/t","HiRes.t","X","X",,"distrib"
"ext/Unicode/Normalize","Changes","X",,,"skip"
"ext/Unicode/Normalize","Makefile",,"X",,"skip"
"ext/Unicode/Normalize","Makefile.PL","X","X",,"distrib"
"ext/Unicode/Normalize","Normalize.bs",,"X",,"skip"
"ext/Unicode/Normalize","Normalize.c",,"X",,"skip"
"ext/Unicode/Normalize","Normalize.pm","X","X","X","distrib"
"ext/Unicode/Normalize","Normalize.xs","X","X",,"distrib"
"ext/Unicode/Normalize","README","X",,,"skip"
"ext/Unicode/Normalize","mkheader","X","X",,"distrib"
"ext/Unicode/Normalize","pm_to_blib",,"X",,"skip"
"ext/Unicode/Normalize","unfcan.h",,"X",,"skip"
"ext/Unicode/Normalize","unfcmb.h",,"X",,"skip"
"ext/Unicode/Normalize","unfcmp.h",,"X",,"skip"
"ext/Unicode/Normalize","unfcpt.h",,"X",,"skip"
"ext/Unicode/Normalize","unfexc.h",,"X",,"skip"
"ext/Unicode/Normalize/blib/man3",".exists",,"X",,"skip"
"ext/Unicode/Normalize/blib/man3","Unicode::Normalize.3",,"X",,"skip"
"ext/Unicode/Normalize/t","fcdc.t","X","X",,"distrib"
"ext/Unicode/Normalize/t","form.t","X","X",,"distrib"
"ext/Unicode/Normalize/t","func.t","X","X",,"distrib"
"ext/Unicode/Normalize/t","illegal.t","X","X",,"distrib"
"ext/Unicode/Normalize/t","norm.t","X","X",,"distrib"
"ext/Unicode/Normalize/t","null.t","X","X",,"distrib"
"ext/Unicode/Normalize/t","proto.t","X","X",,"distrib"
"ext/Unicode/Normalize/t","short.t","X","X",,"distrib"
"ext/Unicode/Normalize/t","split.t","X","X",,"distrib"
"ext/Unicode/Normalize/t","test.t","X","X",,"distrib"
"ext/XS/APItest","APItest.bs",,"X",,"skip"
"ext/XS/APItest","APItest.c",,"X",,"skip"
"ext/XS/APItest","APItest.pm","X","X","X","distrib"
"ext/XS/APItest","APItest.xs","X","X",,"distrib"
"ext/XS/APItest","MANIFEST","X","X",,"skip"
"ext/XS/APItest","Makefile",,"X",,"skip"
"ext/XS/APItest","Makefile.PL","X","X",,"distrib"
"ext/XS/APItest","README","X",,,"skip"
"ext/XS/APItest","pm_to_blib",,"X",,"skip"
"ext/XS/APItest/t","hash.t","X","X",,"distrib"
"ext/XS/APItest/t","printf.t","X","X",,"distrib"
"ext/XS/Typemap","Makefile",,"X",,"skip"
"ext/XS/Typemap","Makefile.PL","X","X",,"distrib"
"ext/XS/Typemap","README","X",,,"skip"
"ext/XS/Typemap","Typemap.bs",,"X",,"skip"
"ext/XS/Typemap","Typemap.c",,"X",,"skip"
"ext/XS/Typemap","Typemap.pm","X","X","X","distrib"
"ext/XS/Typemap","Typemap.xs","X","X",,"distrib"
"ext/XS/Typemap","pm_to_blib",,"X",,"skip"
"ext/XS/Typemap","stdio.c","X","X",,"distrib"
"ext/XS/Typemap","typemap","X","X",,"distrib"
"ext/XS/Typemap/t","Typemap.t","X","X",,"distrib"
"ext/attrs","Makefile",,"X",,"skip"
"ext/attrs","Makefile.PL","X","X",,"distrib"
"ext/attrs","attrs.bs",,"X",,"skip"
"ext/attrs","attrs.c",,"X",,"skip"
"ext/attrs","attrs.pm","X","X","X","distrib"
"ext/attrs","attrs.xs","X","X",,"distrib"
"ext/attrs","pm_to_blib",,"X",,"skip"
"ext/attrs/t","attrs.t","X","X",,"distrib"
"ext/re","Makefile",,"X",,"skip"
"ext/re","Makefile.PL","X","X",,"distrib"
"ext/re","pm_to_blib",,"X",,"skip"
"ext/re","re.bs",,"X",,"skip"
"ext/re","re.c",,"X",,"skip"
"ext/re","re.pm","X","X","X","distrib"
"ext/re","re.xs","X","X",,"distrib"
"ext/re","re_comp.c",,"X",,"skip"
"ext/re","re_exec.c",,"X",,"skip"
"ext/re/hints","mpeix.pl","X",,,"skip"
"ext/re/t","re.t","X","X",,"distrib"
"ext/threads","Changes","X",,,"skip"
"ext/threads","Makefile.PL","X",,,"skip"
"ext/threads","README","X",,,"skip"
"ext/threads","threads.pm","X",,,"skip"
"ext/threads","threads.xs","X",,,"skip"
"ext/threads","typemap","X",,,"skip"
"ext/threads/shared","Makefile.PL","X",,,"skip"
"ext/threads/shared","README","X",,,"skip"
"ext/threads/shared","shared.pm","X",,,"skip"
"ext/threads/shared","shared.xs","X",,,"skip"
"ext/threads/shared","typemap","X",,,"skip"
"ext/threads/shared/t","0nothread.t","X","X",,"skip"
"ext/threads/shared/t","av_refs.t","X","X",,"skip"
"ext/threads/shared/t","av_simple.t","X","X",,"skip"
"ext/threads/shared/t","cond.t","X","X",,"skip"
"ext/threads/shared/t","disabled.t","X","X",,"skip"
"ext/threads/shared/t","hv_refs.t","X","X",,"skip"
"ext/threads/shared/t","hv_simple.t","X","X",,"skip"
"ext/threads/shared/t","no_share.t","X","X",,"skip"
"ext/threads/shared/t","shared_attr.t","X","X",,"skip"
"ext/threads/shared/t","sv_refs.t","X","X",,"skip"
"ext/threads/shared/t","sv_simple.t","X","X",,"skip"
"ext/threads/shared/t","wait.t","X","X",,"skip"
"ext/threads/t","basic.t","X","X",,"skip"
"ext/threads/t","end.t","X","X",,"skip"
"ext/threads/t","join.t","X","X",,"skip"
"ext/threads/t","libc.t","X","X",,"skip"
"ext/threads/t","list.t","X","X",,"skip"
"ext/threads/t","problems.t","X","X",,"skip"
"ext/threads/t","stress_cv.t","X","X",,"skip"
"ext/threads/t","stress_re.t","X","X",,"skip"
"ext/threads/t","stress_string.t","X","X",,"skip"
"ext/threads/t","thread.t","X","X",,"skip"
"ext/util","make_ext","X","X",,"distrib"
"h2pl","README","X",,,"skip"
"h2pl","cbreak.pl","X",,,"skip"
"h2pl","cbreak2.pl","X",,,"skip"
"h2pl","getioctlsizes","X",,,"skip"
"h2pl","mksizes","X",,,"skip"
"h2pl","mkvars","X",,,"skip"
"h2pl","tcbreak","X",,,"skip"
"h2pl","tcbreak2","X",,,"skip"
"h2pl/eg","sizeof.ph","X",,,"skip"
"h2pl/eg","sysexits.pl","X",,,"skip"
"h2pl/eg/sys","errno.pl","X",,,"skip"
"h2pl/eg/sys","ioctl.pl","X",,,"skip"
"hints","3b1.sh","X",,,"skip"
"hints","3b1cc","X",,,"skip"
"hints","README.hints","X",,,"skip"
"hints","aix.sh","X",,,"skip"
"hints","aix_3.sh","X",,,"skip"
"hints","aix_4.sh","X",,,"skip"
"hints","altos486.sh","X",,,"skip"
"hints","amigaos.sh","X",,,"skip"
"hints","apollo.sh","X",,,"skip"
"hints","atheos.sh","X",,,"skip"
"hints","aux_3.sh","X",,,"skip"
"hints","beos.sh","X",,,"skip"
"hints","broken-db.msg","X",,,"skip"
"hints","bsdos.sh","X",,,"skip"
"hints","convexos.sh","X",,,"skip"
"hints","cxux.sh","X",,,"skip"
"hints","cygwin.sh","X",,,"skip"
"hints","darwin.sh","X",,,"skip"
"hints","dcosx.sh","X",,,"skip"
"hints","dec_osf.sh","X",,,"skip"
"hints","dgux.sh","X",,,"skip"
"hints","dos_djgpp.sh","X",,,"skip"
"hints","dynix.sh","X",,,"skip"
"hints","dynixptx.sh","X",,,"skip"
"hints","epix.sh","X",,,"skip"
"hints","esix4.sh","X",,,"skip"
"hints","fps.sh","X",,,"skip"
"hints","freebsd.sh","X",,,"skip"
"hints","genix.sh","X",,,"skip"
"hints","gnu.sh","X",,,"skip"
"hints","greenhills.sh","X",,,"skip"
"hints","hpux.sh","X",,,"skip"
"hints","i386.sh","X",,,"skip"
"hints","irix_4.sh","X",,,"skip"
"hints","irix_5.sh","X",,,"skip"
"hints","irix_6.sh","X",,,"skip"
"hints","irix_6_0.sh","X",,,"skip"
"hints","irix_6_1.sh","X",,,"skip"
"hints","isc.sh","X",,,"skip"
"hints","isc_2.sh","X",,,"skip"
"hints","linux.sh","X",,,"skip"
"hints","lynxos.sh","X",,,"skip"
"hints","machten.sh","X",,,"skip"
"hints","machten_2.sh","X",,,"skip"
"hints","mint.sh","X",,,"skip"
"hints","mips.sh","X",,,"skip"
"hints","mpc.sh","X",,,"skip"
"hints","mpeix.sh","X",,,"skip"
"hints","ncr_tower.sh","X",,,"skip"
"hints","netbsd.sh","X",,,"skip"
"hints","newsos4.sh","X",,,"skip"
"hints","next_3.sh","X",,,"skip"
"hints","next_3_0.sh","X",,,"skip"
"hints","next_4.sh","X",,,"skip"
"hints","nonstopux.sh","X",,,"skip"
"hints","openbsd.sh","X",,,"skip"
"hints","opus.sh","X",,,"skip"
"hints","os2.sh","X",,,"skip"
"hints","os390.sh","X",,,"skip"
"hints","os400.sh","X",,,"skip"
"hints","posix-bc.sh","X",,,"skip"
"hints","powerux.sh","X",,,"skip"
"hints","qnx.sh","X",,,"skip"
"hints","rhapsody.sh","X",,,"skip"
"hints","sco.sh","X",,,"skip"
"hints","sco_2_3_0.sh","X",,,"skip"
"hints","sco_2_3_1.sh","X",,,"skip"
"hints","sco_2_3_2.sh","X",,,"skip"
"hints","sco_2_3_3.sh","X",,,"skip"
"hints","sco_2_3_4.sh","X",,,"skip"
"hints","solaris_2.sh","X",,,"skip"
"hints","stellar.sh","X",,,"skip"
"hints","sunos_4_0.sh","X",,,"skip"
"hints","sunos_4_1.sh","X",,,"skip"
"hints","super-ux.sh","X",,,"skip"
"hints","svr4.sh","X",,,"skip"
"hints","svr5.sh","X",,,"skip"
"hints","t001.c","X",,,"skip"
"hints","ti1500.sh","X",,,"skip"
"hints","titanos.sh","X",,,"skip"
"hints","ultrix_4.sh","X",,,"skip"
"hints","umips.sh","X",,,"skip"
"hints","unicos.sh","X",,,"skip"
"hints","unicosmk.sh","X",,,"skip"
"hints","unisysdynix.sh","X",,,"skip"
"hints","utekv.sh","X",,,"skip"
"hints","uts.sh","X",,,"skip"
"hints","uwin.sh","X",,,"skip"
"hints","vmesa.sh","X",,,"skip"
"hints","vos.sh","X",,,"skip"
"jpl","ChangeLog","X",,,"skip"
"jpl","README","X",,,"skip"
"jpl","README.JUST-JNI","X",,,"skip"
"jpl","SETVARS.PL","X",,,"skip"
"jpl","install-jpl","X",,,"skip"
"jpl/JNI","Changes","X",,,"skip"
"jpl/JNI","Closer.java","X",,,"skip"
"jpl/JNI","JNI.pm","X",,,"skip"
"jpl/JNI","JNI.xs","X",,,"skip"
"jpl/JNI","JNIConfig","X",,,"skip"
"jpl/JNI","JNIConfig.Win32","X",,,"skip"
"jpl/JNI","JNIConfig.kaffe","X",,,"skip"
"jpl/JNI","JNIConfig.noembed","X",,,"skip"
"jpl/JNI","JNIConfig.standard","X",,,"skip"
"jpl/JNI","Makefile.PL","X",,,"skip"
"jpl/JNI","test.pl","X",,,"skip"
"jpl/JNI","typemap","X",,,"skip"
"jpl/JNI","typemap.gcc","X",,,"skip"
"jpl/JNI","typemap.win32","X",,,"skip"
"jpl/JPL","AutoLoader.pm","X",,,"skip"
"jpl/JPL","Class.pm","X",,,"skip"
"jpl/JPL","Compile.pm","X",,,"skip"
"jpl/JPL","Makefile.PL","X",,,"skip"
"jpl/JPL_Rolo","JPL_Rolo.jpl","X",,,"skip"
"jpl/JPL_Rolo","Makefile.PL","X",,,"skip"
"jpl/JPL_Rolo","README","X",,,"skip"
"jpl/JPL_Rolo","cardfile","X",,,"skip"
"jpl/PerlInterpreter","Makefile.PL","X",,,"skip"
"jpl/PerlInterpreter","PerlInterpreter.c","X",,,"skip"
"jpl/PerlInterpreter","PerlInterpreter.h","X",,,"skip"
"jpl/PerlInterpreter","PerlInterpreter.java","X",,,"skip"
"jpl/Sample","Makefile.PL","X",,,"skip"
"jpl/Sample","Sample.jpl","X",,,"skip"
"jpl/Test","Makefile.PL","X",,,"skip"
"jpl/Test","Test.jpl","X",,,"skip"
"jpl/bin","jpl","X",,,"skip"
"jpl/docs","Tutorial.pod","X",,,"skip"
"jpl/get_jdk","README","X",,,"skip"
"jpl/get_jdk","get_jdk.pl","X",,,"skip"
"jpl/get_jdk","jdk_hosts","X",,,"skip"
"lib",".exists",,"X",,"skip"
"lib","AnyDBM_File.pm","X","X","X","distrib"
"lib","AnyDBM_File.t","X","X",,"distrib"
"lib","AutoLoader.pm","X","X","X","distrib"
"lib","AutoLoader.t","X","X",,"distrib"
"lib","AutoSplit.pm","X","X","X","distrib"
"lib","AutoSplit.t","X","X",,"distrib"
"lib","B.pm",,"X",,"skip"
"lib","Benchmark.pm","X","X","X","distrib"
"lib","Benchmark.t","X","X",,"distrib"
"lib","ByteLoader.pm",,"X",,"skip"
"lib","CGI.pm","X","X","X","distrib"
"lib","CPAN.pm","X","X","X","distrib"
"lib","Carp.pm","X","X","X","distrib"
"lib","Carp.t","X","X",,"distrib"
"lib","Config.pm",,"X",,"skip"
"lib","Config.pod",,"X",,"skip"
"lib","Config.t","X","X",,"distrib"
"lib","Cwd.pm","X","X","X","distrib"
"lib","DB.pm","X","X","X","distrib"
"lib","DB.t","X","X",,"distrib"
"lib","DBM_Filter.pm","X","X","X","distrib"
"lib","Digest.pm","X","X","X","distrib"
"lib","DirHandle.pm","X","X","X","distrib"
"lib","DirHandle.t","X","X",,"distrib"
"lib","Dumpvalue.pm","X","X","X","distrib"
"lib","Dumpvalue.t","X","X",,"distrib"
"lib","DynaLoader.pm",,"X",,"skip"
"lib","Encode.pm",,"X",,"skip"
"lib","English.pm","X","X","X","distrib"
"lib","English.t","X","X",,"distrib"
"lib","Env.pm","X","X","X","distrib"
"lib","Errno.pm",,"X",,"skip"
"lib","Exporter.pm","X","X","X","distrib"
"lib","Exporter.t","X","X",,"distrib"
"lib","Fatal.pm","X","X","X","distrib"
"lib","Fatal.t","X","X",,"distrib"
"lib","Fcntl.pm",,"X",,"skip"
"lib","FileCache.pm","X","X","X","distrib"
"lib","FileHandle.pm","X","X","X","distrib"
"lib","FileHandle.t","X","X",,"distrib"
"lib","FindBin.pm","X","X","X","distrib"
"lib","FindBin.t","X","X",,"distrib"
"lib","IO.pm",,"X",,"skip"
"lib","Internals.t","X","X",,"distrib"
"lib","Memoize.pm","X","X","X","distrib"
"lib","NDBM_File.pm",,"X",,"skip"
"lib","NEXT.pm","X","X","X","distrib"
"lib","O.pm",,"X",,"skip"
"lib","ODBM_File.pm",,"X",,"skip"
"lib","Opcode.pm",,"X",,"skip"
"lib","POSIX.pm",,"X",,"skip"
"lib","POSIX.pod",,"X",,"skip"
"lib","PerlIO.pm","X","X","X","distrib"
"lib","SDBM_File.pm",,"X",,"skip"
"lib","Safe.pm",,"X",,"skip"
"lib","SelectSaver.pm","X","X","X","distrib"
"lib","SelectSaver.t","X","X",,"distrib"
"lib","SelfLoader.pm","X","X","X","distrib"
"lib","SelfLoader.t","X","X",,"distrib"
"lib","Shell.pm","X","X","X","distrib"
"lib","Shell.t","X","X",,"distrib"
"lib","Socket.pm",,"X",,"skip"
"lib","Storable.pm",,"X",,"skip"
"lib","Switch.pm","X","X","X","distrib"
"lib","Symbol.pm","X","X","X","distrib"
"lib","Symbol.t","X","X",,"distrib"
"lib","Test.pm","X","X","X","distrib"
"lib","Thread.pm","X","X","X","skip"
"lib","UNIVERSAL.pm","X","X","X","distrib"
"lib","XSLoader.pm",,"X",,"skip"
"lib","abbrev.pl","X",,"X","distrib"
"lib","assert.pl","X",,"X","distrib"
